time,Bx,By,Bz,BT
1.884824,-5.85,-22.28,-20.36,30.74
1.895108,-5.78,-22.07,-20.25,30.50
1.904544,-6.00,-21.79,-20.44,30.47
1.914575,-6.08,-21.66,-20.23,30.25
1.925831,-6.00,-21.79,-20.36,30.42
1.935487,-6.08,-21.84,-20.55,30.60
1.945598,-6.02,-22.05,-20.62,30.79
1.955671,-6.17,-22.01,-20.83,30.93
1.964710,-6.15,-21.99,-20.79,30.89
1.981901,-6.11,-22.14,-20.78,30.97
1.984608,-5.78,-22.37,-20.74,31.04
1.994535,-5.62,-22.56,-20.61,31.07
2.004437,-5.87,-22.56,-20.31,30.91
2.014581,-6.06,-22.56,-20.40,31.01
2.024350,-5.93,-22.48,-20.40,30.93
2.034673,-5.85,-22.56,-20.25,30.87
2.044479,-5.98,-22.39,-20.06,30.65
2.054654,-5.94,-22.44,-20.01,30.65
2.064555,-5.98,-22.48,-19.88,30.60
2.075911,-6.17,-22.63,-19.93,30.78
2.084485,-6.02,-22.52,-19.88,30.63
2.094906,-5.83,-22.33,-19.59,30.28
2.104811,-5.91,-22.46,-19.46,30.30
2.114738,-5.76,-22.46,-19.12,30.06
2.124595,-5.78,-22.44,-19.24,30.12
2.134696,-5.76,-22.39,-19.26,30.09
2.144785,-5.64,-22.37,-19.28,30.06
2.154705,-5.61,-22.39,-19.24,30.05
2.165472,-5.57,-22.52,-19.18,30.10
2.175533,-5.72,-22.63,-19.28,30.27
2.185524,-5.66,-22.71,-19.54,30.49
2.195571,-5.94,-22.61,-19.71,30.58
2.204843,-5.85,-22.73,-19.69,30.63
2.214581,-5.94,-22.65,-19.78,30.65
2.224535,-5.94,-22.54,-20.19,30.84
2.234665,-5.76,-22.39,-19.91,30.51
2.244504,-5.68,-22.33,-20.25,30.68
2.254956,-5.72,-22.31,-20.27,30.68
2.265295,-5.85,-22.12,-19.93,30.35
2.276760,-5.62,-21.96,-19.84,30.12
2.284509,-5.85,-21.92,-19.88,30.16
2.294813,-5.98,-22.01,-19.84,30.23
2.304502,-6.08,-22.03,-19.48,30.03
2.314704,-6.26,-22.16,-19.95,30.47
2.324462,-6.11,-22.18,-19.74,30.32
2.334503,-5.85,-22.01,-19.48,29.97
2.344739,-5.74,-22.07,-19.73,30.15
2.354666,-5.76,-22.09,-20.01,30.35
2.364465,-5.64,-21.98,-19.95,30.21
2.377460,-5.36,-21.90,-19.74,29.97
2.385168,-5.51,-22.05,-19.63,30.03
2.394494,-5.51,-21.92,-19.63,29.94
2.405276,-5.93,-21.77,-19.67,29.93
2.415754,-6.21,-21.96,-19.88,30.26
2.425447,-6.23,-22.12,-19.61,30.21
2.435399,-6.30,-22.35,-19.46,30.30
2.444989,-6.24,-22.33,-19.52,30.31
2.454673,-6.32,-22.33,-19.65,30.41
2.464428,-6.02,-22.29,-19.69,30.35
2.480167,-6.08,-22.35,-19.54,30.30
2.484517,-5.81,-22.48,-19.43,30.27
2.494775,-5.68,-22.29,-19.24,29.99
2.504731,-5.85,-22.11,-19.14,29.82
2.514651,-6.04,-22.12,-19.16,29.89
2.524521,-5.96,-22.05,-19.14,29.80
2.534841,-5.68,-22.22,-19.16,29.89
2.544500,-5.98,-22.31,-19.12,29.99
2.554633,-5.57,-22.26,-18.99,29.78
2.564585,-5.64,-22.37,-18.88,29.81
2.575262,-5.72,-22.37,-18.98,29.89
2.584622,-5.40,-22.24,-19.22,29.88
2.594963,-5.21,-22.22,-19.26,29.86
2.604516,-5.06,-22.44,-19.39,30.09
2.614700,-5.33,-22.31,-19.41,30.05
2.624439,-5.04,-22.33,-19.67,30.18
2.634807,-5.27,-22.46,-19.74,30.37
2.645648,-5.18,-22.20,-19.80,30.19
2.655403,-5.03,-22.26,-19.69,30.14
2.665437,-5.10,-22.50,-19.69,30.33
2.675776,-5.08,-22.39,-19.80,30.32
2.684636,-5.04,-22.26,-19.76,30.19
2.694828,-4.97,-22.33,-19.65,30.16
2.704628,-5.03,-22.12,-19.41,29.86
2.714566,-5.08,-22.11,-19.46,29.89
2.724483,-5.29,-22.39,-19.67,30.27
2.734565,-5.44,-22.59,-19.91,30.60
2.744638,-5.33,-22.48,-19.82,30.44
2.754695,-5.42,-22.46,-19.73,30.38
2.764373,-5.70,-22.58,-19.65,30.47
2.775835,-6.04,-22.69,-19.84,30.74
2.784541,-6.11,-22.78,-20.06,30.97
2.794642,-6.11,-22.61,-19.95,30.77
2.804553,-6.00,-22.73,-19.80,30.73
2.814725,-5.66,-22.74,-19.65,30.59
2.824676,-5.68,-22.91,-19.71,30.75
2.834904,-5.36,-23.04,-19.52,30.67
2.844450,-5.29,-23.03,-19.41,30.57
2.855260,-5.04,-22.67,-19.35,30.23
2.865007,-4.93,-22.80,-19.22,30.22
2.875993,-5.34,-22.63,-19.35,30.25
2.885435,-5.33,-22.44,-19.52,30.22
2.895491,-5.61,-22.37,-19.33,30.09
2.905547,-5.62,-22.41,-19.22,30.05
2.915408,-5.81,-22.37,-19.29,30.11
2.924652,-5.93,-22.28,-19.54,30.22
2.934524,-6.04,-22.48,-19.52,30.38
2.944505,-6.17,-22.16,-19.44,30.12
2.954634,-6.06,-22.58,-19.31,30.32
2.964406,-6.15,-22.59,-19.29,30.34
2.978826,-6.34,-22.56,-19.54,30.51
2.984301,-6.49,-22.26,-19.67,30.40
2.994490,-6.68,-22.20,-19.84,30.51
3.004388,-6.60,-22.16,-19.80,30.44
3.014668,-6.54,-22.05,-19.91,30.42
3.024563,-6.58,-22.09,-20.01,30.52
3.034734,-6.51,-21.79,-19.97,30.26
3.044812,-6.45,-21.68,-20.04,30.22
3.054528,-6.11,-21.58,-20.27,30.23
3.071041,-6.00,-21.60,-20.21,30.18
3.076353,-5.98,-21.60,-20.40,30.31
3.084309,-6.06,-21.60,-20.31,30.26
3.094803,-6.11,-21.75,-20.33,30.39
3.104493,-6.11,-21.77,-20.18,30.30
3.114777,-6.19,-21.75,-20.33,30.40
3.125294,-6.17,-21.66,-20.14,30.21
3.135442,-6.21,-21.92,-19.91,30.26
3.145583,-6.43,-22.31,-19.95,30.61
3.156226,-6.38,-22.24,-19.95,30.55
3.165198,-6.43,-22.28,-20.04,30.65
3.175991,-6.54,-22.37,-20.18,30.83
3.184373,-6.54,-22.46,-20.34,31.00
3.194673,-6.47,-22.48,-20.62,31.19
3.204517,-6.39,-22.67,-20.85,31.46
3.214594,-6.39,-22.35,-21.08,31.38
3.224507,-6.21,-22.07,-21.23,31.24
3.234736,-6.30,-22.01,-21.00,31.07
3.244442,-6.04,-22.01,-21.00,31.02
3.254568,-6.17,-21.77,-20.93,30.82
3.264487,-6.17,-21.88,-21.04,30.97
3.274602,-6.04,-21.99,-20.89,30.93
3.285381,-6.17,-21.92,-21.04,31.00
3.294602,-6.43,-22.12,-21.04,31.20
3.304442,-6.51,-22.16,-21.04,31.24
3.314721,-6.32,-22.31,-21.15,31.39
3.324475,-6.51,-22.41,-21.21,31.53
3.334588,-6.26,-22.41,-21.15,31.44
3.344524,-6.34,-22.22,-21.17,31.34
3.354636,-6.26,-22.07,-21.09,31.16
3.365476,-6.28,-22.16,-20.79,31.03
3.376694,-6.21,-22.22,-20.53,30.88
3.385258,-6.19,-22.41,-20.48,30.98
3.395310,-6.24,-22.56,-20.53,31.13
3.404573,-6.19,-22.48,-20.51,31.06
3.414466,-6.00,-22.54,-20.53,31.07
3.424348,-6.00,-22.54,-20.46,31.02
3.434582,-5.89,-22.56,-20.49,31.04
3.444614,-5.83,-22.41,-20.51,30.93
